Feresa_archive_dump_4June2024_LabID,T_ID,dbo_vw_Tissue_Vial_LabID,Vial_Num,Tissue_Type,Preservative,TQuant,TQuant_Description,TLeft,BQuant,Tissue_Location,Container_Type_Name,Vial_Type_Name,Container_Num,Rack,Box,Container_Row,Container_Column,CellStatus,CheckedOut,Checked_Out_By,Checked_Out_For,Comments,Accession_Date,EditDate,Edit_User,RecordCreationDate
35856,37255,35856,1,Skin,"DMSO, saturated salt solution",1,Enough tissue for 1 extraction,Y,0,-20 Walk In Freezer,Flat,2 ml,149,,,B,6,1,N,,,,3/3/08,3/20/24,Alaina Harmon,3/3/08
48079,51562,48079,1,Teeth,"Skin, bone, or other tissue stored without preservative",3,Enough tissue for 3 or more extractions,Y,0,Ancient DNA Lab,Cardboard Box,2 ml,6,,,,,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
48132,51614,48132,1,Skin,Ethanol,3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2 ml,181,,,E,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
55171,64476,55171,1,Skin,Frozen; no preservative,2,Enough tissue for 2 extractions,Y,0,-80 Upright Freezer F4,CryoBox,2 ml,,6,109,F,4,1,N,,,,3/3/08,2/8/24,Alaina Harmon,3/3/08
2605,2743,2605,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,2 ml,19,,,I,6,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
3944,4041,3944,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,2,-20 Walk In Freezer,Flat,20 ml plastic,26,,,J,9,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
5747,5891,5747,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,2 ml,37,,,H,2,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
5749,5893,5749,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,37,,,H,5,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
9549,9342,9549,1,Muscle,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2-20 ml plastic,56,,,G,9,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
9550,9343,9550,1,Muscle,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2-20 ml plastic,56,,,G,9,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
9551,9344,9551,1,Muscle,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2-20 ml plastic,56,,,G,10,1,N,,,,3/3/08,3/20/24,Alaina Harmon,3/3/08
9552,9345,9552,1,Muscle,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2-20 ml plastic,56,,,G,10,1,N,,,,3/3/08,3/20/24,Alaina Harmon,3/3/08
9853,9651,9853,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,2,-20 Walk In Freezer,Flat,2 ml,58,,,I,7,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11707,11592,11707,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,2 ml,65,,,J,9,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11707,79147,11707,1,Blubber,Frozen; no preservative,0,No tissue,Y,2,-20 Walk In Freezer,Flat,20 ml glass,281,,,I,8,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11708,11593,11708,1,Skin,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2 ml,65,,,J,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11708,79148,11708,1,Blubber,Frozen; no preservative,0,No tissue,Y,1,-20 Walk In Freezer,Flat,20 ml glass,281,,,I,9,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11709,11594,11709,1,Skin,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2 ml,65,,,J,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11709,79149,11709,1,Skin & Blubber,Frozen; no preservative,2,Enough tissue for 2 extractions,Y,1,-20 Walk In Freezer,Flat,20 ml glass,281,,,I,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11710,11595,11710,1,Skin,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,2 ml,65,,,J,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
11710,79150,11710,1,Skin & Blubber,Frozen; no preservative,1,Enough tissue for 1 extraction,Y,1,-20 Walk In Freezer,Flat,20 ml glass,281,,,J,1,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
