"","LABID","CONTACT_NAME","Restrict_Description","Date_Collected","Latitude","Longitude","Location","Island","State","Country","Ocean_Basin","KKM_Location","category","Rank","DQuant","concentration","dna.comments","TQuant","subs","alts"
"1",94804,"JOHN CALAMBOKIDIS","Donator requested that PI request permission to use in study","6/24/10",33.083333,-118.65,"SoCAL offshore","","CALIFORNIA","UNITED STATES OF AMERICA","North Pacific","CA/OR/WA","1",1,"4,3","0, 168.06",NA,"3","26642, 1293","23799, 124011, 23155, 77617, 102563, 2167, 133201, 133286, 133289, 191406, 133292, 133293, 79772, 48586, 209902, 173980, 113443, 28480, 79774, 52456, 87480, 185553, 87483, 185562, 88975, 88952, 26643, 4771, 23800, 62, 23942, 8759, 76971, 6157, 101160, 125882, 1294, 1291, 66557, 101159, 2165, 79779, 113441, 191009, 125950, 125951, 125952, 113442, 133202, 125946, 125947, 125948, 113633, 113634, 94413, 191167, 173497, 178258, 52455, 173507, 191168, 191169, 173499, 191166, 208127, 79953, 185487, 185488, 61948, 157455, 178259, 178260, 178261, 118477, 123935, 123934, 157454, 146464, 113015, 196960, 117598"
"2",101143,"JOHN CALAMBOKIDIS","Donator requested that PI request permission to use in study","9/6/10",34.133333,-120.133333,"","Channel Islands","CALIFORNIA","UNITED STATES OF AMERICA","North Pacific","CA/OR/WA","2",1,"4,3","NA, 167.41",NA,"3","26307, 26308","26306, 1875, 39556, 76436, 53165, 12306, 26309, 101142, 101144, 72, 11204, 114337, 178027, 133255, 178021"
"3",41843,"TOM JEFFERSON","","9/15/04",36.8,-122,"","","CALIFORNIA","UNITED STATES OF AMERICA","North Pacific","CA/OR/WA","3",1,"3","",NA,"3","41844, 41845","41846, 57814, 32931, 41850, 41842, 41847, 32940, 178265, 6963, 173811, 143967, 178266, 108390, 202274, 210231, 177991, 186894, 210189"
"4",124025,"Collection Manager - SWFSC ","","10/19/05",40.583333,-124.416666,"Centerville Beach","","CALIFORNIA","UNITED STATES OF AMERICA","North Pacific","CA/OR/WA","3",1,"3","",NA,"3","41844, 41845","41846, 57814, 32931, 41850, 41842, 41847, 32940, 178265, 6963, 173811, 143967, 178266, 108390, 202274, 210231, 177991, 186894, 210189"
"5",25435,"JAY BARLOW","","9/21/01",43.016666,-124.583333,"WEST COAST","","Oregon","UNITED STATES OF AMERICA","North Pacific","CA/OR/WA","7",1,"3,2","18, NA",NA,"3","1877, 51130","51127, 51129, 51128"
"6",61944,"JOHN CALAMBOKIDIS","Donator requested that PI request permission to use in study","7/30/06",47.3,-124.75,"","","WASHINGTON","UNITED STATES OF AMERICA","North Pacific","CA/OR/WA","8",1,"3","",NA,"3","61945","183506"
"7",125653,"JAMIE MARCHETTI","No external permission needed, but donator requests notification when used.","2/3/11",33.383333,-137.866666,"NORTH EASTERN PACIFIC OCEAN","","","","North Pacific","CNP","CNP1",1,"3","",NA,"2","93900, 125652","74706, 62830, 78761, 53476, 114346"
"8",73679,"JAMIE MARCHETTI","No external permission needed, but donator requests notification when used.","12/24/07",18.183333,-160.716666,"CENTRAL PACIFIC, SW OF HAWAIIAN ISLANDS","","HAWAII","UNITED STATES OF AMERICA","North Pacific","CNP","CNP2",1,"3","",NA,"3","",""
"9",4691,"JAY BARLOW","","10/27/95",24.2,-108.583333,"GULF OF CALIFORNIA","","","MEXICO","North Pacific","ETP","ETP1",1,"4","16",NA,"3","4689, 4692","4690"
"10",15900,"LISA Ballance","","8/11/99",25.65,-110.216666,"","","","MEXICO","North Pacific","ETP","ETP2",1,"2,3","34, NA",NA,"2,0","15901, 15899","37972, 37971, 37967"
