"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
62,,,"KZP0016",181558,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"04/16/1990",1990,4,16,"TORREY PINES STATE BEACH",,,"San Diego","CALIFORNIA","UNITED STATES OF AMERICA",32.916666,1,"Minute",-117.25,1,"Minute",1,"North Pacific","F","Field determination: gonads were examined; carcass was examined and dissected.",,,,5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
72,,,"JEH1061",181568,,,,,,,,"STRANDING",561,"JORGE VELEZ-JUARBE",13,"Natural History Museum of Los Angeles County",,,"The Natural History Museum of Los Angeles County",,"ARC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"Y","Donator requested that PI request permission to use in study","10/13/1981",1981,10,13,"LEO CARILLO BEACH",,,,"CALIFORNIA","UNITED STATES OF AMERICA",34.033333,1,"Minute",-118.916666,1,"Minute",1,"North Pacific","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"O=LIVER",5/31/2012 15:57:59,"dan.prosperi",1/17/2023 14:27:13
141,,"CAGN","EKL0009",181637,,,,,,,,"BYCATCH",385,"Kerri Danil",459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"08/27/1991",1991,8,27,"OFFSHORE",,,,"CALIFORNIA","UNITED STATES OF AMERICA",35.183333,1,"Minute",-121.166666,1,"Minute",1,"North Pacific","F","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,,5/31/2012 15:57:59,"dan.prosperi",6/17/2022 15:50:07
144,,"CAGN","CMS0003",181640,,,,,,,,"BYCATCH",385,"Kerri Danil",459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"07/20/1991",1991,7,20,"OFFSHORE",,,,"CALIFORNIA","UNITED STATES OF AMERICA",34.7,1,"Minute",-121.283333,1,"Minute",1,"North Pacific","F","Molecular determination: SRY method",,,,5/31/2012 15:57:59,"dan.prosperi",6/17/2022 15:50:07
451,,,"USNM347613",181919,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"Y","Donator requested that PI request permission to use in study","12/30/1970",1970,12,30,"CAPE HATTERAS",,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",34.333333,1,"Minute",-75.583333,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
479,,,"CWP0115/USNM550104",181947,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"Y","Donator requested that PI request permission to use in study","05/13/1981",1981,5,13,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",35.466666,1,"Minute",-75.466666,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
483,,,"WAM0002/USNM550383",181951,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"Y","Donator requested that PI request permission to use in study","09/08/1984",1984,9,8,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",35.716666,1,"Minute",-75.483333,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
533,,,"STR02564",182000,,,,,,,,"CAPTIVE",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"Y","Donator requested that PI request permission to use in study","09/22/1971",1971,9,22,"NEWFOUNDLAND, TRINITY BAY",,,,,"CANADA",48.083333,1,"Minute",-53.083333,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"Include USNM accession number.  Source was recorded as ""CAPTIVE-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
542,,,"D-160-71",182008,,,,,,,,"UNKNOWN",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"Y","Donator requested that PI request permission to use in study","??/??/????",,,,,,,,,,,,,,,,9,"Unknown","U",,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""UNKNOWN-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
776,,"CAGN","MSK0056",182239,,,,,,,,"BYCATCH",385,"Kerri Danil",459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"07/25/1992",1992,7,25,"OFFSHORE",,,,"CALIFORNIA","UNITED STATES OF AMERICA",34.433333,1,"Minute",-121.066666,1,"Minute",1,"North Pacific","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,5/31/2012 15:58:10,"dan.prosperi",6/17/2022 15:50:07
