AnimalID,LabID,FIELDID,Location,Sex,Haplotype
9831,9831,PE1,Brazil,M,31
33928,33928,RWB290503.A03,MHI,M,2
33929,33929,RWB290503.A04,MHI,F,2
33930,33930,RWB290503.A05,MHI,F,1
33931,33931,RWB290503.A06,MHI,M,3
33932,33932,RWB290503.A07,MHI,F,2
33933,33933,RWB290503.A08,MHI,M,1
33934,33934,RWB290503.A09,MHI,M,2
34002,34002,RWB050603.W01,MHI,M,3
34003,34003,RWB050603.W02,MHI,M,2
34004,34004,RWB050603.W03,MHI,M,2
34005,34005,RWB050603.A01,MHI,M,1
34006,34006,RWB050603.A02,MHI,M,1
34007,34007,RWB050603.A03,MHI,M,4
34008,34008,RWB050603.A04,MHI,F,1
34009,34009,RWB050603.A05,MHI,M,1
34010,34010,RWB050603.A06,MHI,F,2
34011,34011,RWB050603.A07,MHI,M,1
34012,34012,RWB050603.A08,MHI,M,3
34013,34013,RWB050603.A09,MHI,M,1
34014,34014,RWB050603.A10,MHI,M,1
34015,34015,RWB050603.A11,MHI,M,5
34016,34016,RWB050603.A12,MHI,M,1
34017,34017,RWB050603.A13,MHI,M,3
34018,34018,RWB050603.A14,MHI,M,1
35863,35863,RWB131003.A01,MHI,M,1
35867,35867,RWB131003.A05,MHI,F,6
35871,35871,RWB131003.A09,MHI,F,4
35873,35873,RWB141003.B02,MHI,M,7
55256,55256,RWB2006MAR26.02,HIResident,M,32
55257,55257,RWB2006MAR26.03,HIResident,F,32
55258,55258,RWB2006MAR26.04,HIResident,F,8
55259,55259,RWB2006MAR26.07,HIResident,F,9
55260,55260,RWB2006MAR26.08,HIResident,F,2
55261,55261,RWB2006MAR26.09,HIResident,M,6
55262,55262,RWB2006MAR26.10,HIResident,M,2
55263,55263,RWB2006MAR26.11,HIResident,M,16
55267,55267,RWB2006MAR30.01,HIResident,F,2
55268,55268,RWB2006MAR30.02,HIResident,M,2
55269,55269,RWB2006MAR30.03,HIResident,F,2
55270,55270,RWB2006MAR30.04,HIResident,M,2
55271,55271,RWB2006MAR30.05,HIResident,F,2
45903,45903,RWB020205.01,HIResident,M,2
45904,45904,RWB020205.02,HIResident,F,8
45905,45905,RWB020205.03,HIResident,M,9
45906,45906,RWB020205.04,HIResident,M,2
45912,45912,RWB031004.03,MHI,M,10
45914,45914,RWB031004.05,MHI,F,10
45917,45917,RWB031004.08,MHI,F,1
45918,45918,RWB031004.09,MHI,M,4
45939,45939,RWB170904.04,MHI,F,11
45941,45941,RWB170904.06,MHI,F,12
45942,45942,RWB170904.07,MHI,F,13
45944,45944,RWB170904.09,MHI,M,12
45958,45958,RWB220105.03,MHI,F,14
45962,45962,RWB220904.03,MHI,M,10
45963,45963,RWB220904.04,MHI,F,12
45964,45964,RWB220904.05,MHI,M,10
45966,45966,RWB220904.07,MHI,M,2
45968,45968,RWB221104.01,MHI,M,1
45976,45976,RWB240105.04,MHI,M,15
45978,45978,RWB251104.01,MHI,M,2
45980,45980,RWB251104.03,MHI,F,14
45981,45981,RWB260105.01,MHI,M,14
45982,45982,RWB260105.02,MHI,F,2
49023,49023,MAC050807.02,MHI,F,1
49024,49024,MAC050807.03,MHI,F,1
49026,49026,MAC050807.05,MHI,F,16
49028,49028,MAC050807.07,MHI,F,1
49035,49035,MAC050807.14,MHI,F,12
