Pele_archive_dump_3June2024_LabID,Pele_DIDs_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,Pele_DIDs_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,Pele_DIDs_Edit_User,Pele_DIDs_Edit_Date,Pele_DIDs_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
34009,26966,34009,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,1,35802,Y,Genomic DNA,1,<=10ul,N,,,reconstituted per BLH 7/15/2013,,,,,4/14/06,Lauren Hess,,Gabriela Serra-Valente,6/10/19,6/28/12,6647,26966,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
34009,103627,34009,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1027,J,4,35802,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2005,Kelly Robertson,9/4/18,,,,9/10/18,Alaina Harmon,2/9/22,9/10/18,,,,,,,,,,,,,,
34010,26967,34010,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,2,35803,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6648,26967,,,,16,,,,,,Dan Prosperi,5/19/14,5/19/14
34011,26968,34011,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,3,35804,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6649,26968,,,,13,,,,,,Dan Prosperi,5/19/14,5/19/14
34011,65083,34011,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,C,2,35804,Y,Genomic DNA,1,<=10ul,N,,,,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34012,25469,34012,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",9,172,F,8,,Y,Genomic DNA,4,>50ul,N,,,,,,,,3/15/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,,,,,,,,,,,,,,
34012,26969,34012,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,4,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,,,,,,,,,,,,,,
34012,65084,34012,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,C,3,35805,Y,Genomic DNA,1,<=10ul,N,,,,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
545,23361,545,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",8,155,D,3,810,Y,Genomic DNA,4,>50ul,N,,,,,,,,2/3/06,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,6091,23361,,,,3370,,,,,,Dan Prosperi,5/19/14,5/19/14
9831,50437,9831,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,B,7,,Y,Genomic DNA,4,>50ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
9831,57128,9831,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,664,B,9,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,450,Louella Dolar,10/12/10,,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
9831,74023,9831,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",19,825,G,9,9629,Y,Genomic DNA,1,<=10ul,N,,,,905,Louella Dolar,4/16/13,"P ele for BLH, others for KMR",,,4/26/13,Alaina Harmon,2/2/22,4/26/13,,,,,,,,,,,,,,
33928,26953,33928,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,A,6,35721,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6635,26953,,,,16,,,,,,Dan Prosperi,5/19/14,5/19/14
33929,27021,33929,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,I,2,35722,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,10/26/15,6/28/12,6689,27021,,,,25,,,,,,Dan Prosperi,5/19/14,5/19/14
33929,74024,33929,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",19,825,H,1,35722,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,905,Louella Dolar,4/16/13,"P ele for BLH, others for KMR",,,4/26/13,Alaina Harmon,2/2/22,4/26/13,,,,,,,,,,,,,,
33930,26954,33930,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,A,7,35723,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6636,26954,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
33931,26955,33931,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,A,8,35724,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6637,26955,,,,8,,,,,,Dan Prosperi,5/19/14,5/19/14
33931,74025,33931,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",19,825,H,2,35724,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,905,Louella Dolar,4/16/13,"P ele for BLH, others for KMR",,,4/26/13,Alaina Harmon,2/2/22,4/26/13,,,,,,,,,,,,,,
33932,26956,33932,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,A,9,35725,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,10/26/15,6/28/12,6638,26956,,,,8,,,,,,Dan Prosperi,5/19/14,5/19/14
