"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
545,,,"ZZZ0003",182011,,,,,,,,"CAPTIVE",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","09/11/1980",1980,9,11,"SEA LIFE PARK",,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",,,,,,,1,"North Pacific","U",,,,"Include USNM accession number.  Source was recorded as ""CAPTIVE-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
9831,,,"PE1",189717,,,,,,,,"STRANDING",617,"MANUEL FURTADO NETO",414,"MEMORIAL UNIVERSITY OF NEWFOUNDLAND, DEPT OF BIOLOGY",,,,,"KMR",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"N",,"05/24/1994",1994,5,24,"PECEM BEACH",,,,,"BRAZIL",-3,1,"Minute",-39,1,"Minute",5,"South Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,,5/31/2012 16:00:42,"dan.prosperi",6/7/2022 15:28:45
33928,,,"RWB290503.A03",201215,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.766666,1,"Minute",-158.633333,1,"Minute",1,"North Pacific","M","Molecular determination: SRY method",6/27/2003 0:00:00,,,5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
33929,,,"RWB290503.A04",201216,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.75,1,"Minute",-158.633333,1,"Minute",1,"North Pacific","F","Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.",6/27/2003 0:00:00,,"VERY LITTLE TISSUE LEFT",5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
33930,,,"RWB290503.A05",201217,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.75,1,"Minute",-158.633333,1,"Minute",1,"North Pacific","F","Molecular determination: SRY method",6/27/2003 0:00:00,,,5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
33931,,,"RWB290503.A06",201218,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.75,1,"Minute",-158.633333,1,"Minute",1,"North Pacific","M","Molecular determination: SRY method",6/27/2003 0:00:00,,,5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
33932,,,"RWB290503.A07",201219,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.75,1,"Minute",-158.616666,1,"Minute",1,"North Pacific","F","Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.",6/27/2003 0:00:00,,,5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
33933,,,"RWB290503.A08",201220,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.733333,1,"Minute",-158.616666,1,"Minute",1,"North Pacific","M","Molecular determination: SRY method",6/27/2003 0:00:00,,,5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
33934,,,"RWB290503.A09",201221,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/29/2003",2003,5,29,,,"Oahu",,"HAWAII","UNITED STATES OF AMERICA",21.733333,1,"Minute",-158.616666,1,"Minute",1,"North Pacific","M","Molecular determination: SRY method",6/27/2003 0:00:00,,,5/31/2012 16:07:16,"dan.prosperi",6/7/2022 16:10:21
34002,,,"RWB050603.W01",201289,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"SJC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","06/05/2003",2003,6,5,,,"Kauai",,"HAWAII","UNITED STATES OF AMERICA",22.266666,1,"Minute",-159.316666,1,"Minute",1,"North Pacific","M","Molecular determination: SRY method",6/27/2003 0:00:00,,,5/31/2012 16:07:17,"dan.prosperi",6/7/2022 16:10:21
