"","LABID","Latitude","Longitude","Mitogenome.haplotype","CR.haplotype","Hawaii","Location","CONTACT_NAME","Restrict_Description","Date_Collected","Ocean_Basin","category","Rank","DQuant","concentration","dna.comments","TQuant","subs","alts"
"1",175842,28.0354,-16.8,"mtGen27","mtGen27","","Tenerife, Los Cristianos","NATACHA AGUILAR","Donator requested that PI request permission to use in study","11/5/15","North Atlantic","Atl1",1,"3","65.05","","3","175845","48103, 175339, 175340"
"2",175844,28.0354,-16.8,"mtGen97","mtGen97","","Tenerife, Los Cristianos","NATACHA AGUILAR","Donator requested that PI request permission to use in study","11/8/15","North Atlantic","Atl2",1,"3","127.42","","2","175840","175839, 175838"
"3",2819,33.916666,-75.216666,"mtGen08","D","","HOLDEN BEACH, NORTH CAROLINA","ALETA HOHN","","5/31/94","North Atlantic","Atl3",1,"4","3810","","3","8671, 112730","112731, 79790, 175782, 175780, 175786"
"4",27,27.1,-82.45,"mtGen07","mtGen07","","VENICE BEACH","DAN ODELL","","1/18/85","North Atlantic","Atl4",1,"2","2160","","3,3,3,3","25","48090, 175778, 175787, 175788"
"5",175785,33.1583,-77.0427,"mtGen94","mtGen94","","NW Atlantic","PATRICIA ROSEL","Donator requested that PI request permission to use in study","7/23/05","North Atlantic","Atl5",1,"1","","DNA provided by P. Rosel's lab, SEFSC","0","","48091"
"6",30535,23.683333,-149.083333,"mtGen53","11","","HI IFS","JAY BARLOW","","12/2/02","North Pacific","C1",1,"4,3","",", ","3","",""
"7",11496,2.316666,-106.733333,"mtGen39","2","","IFS","TIM GERRODETTE","","10/12/98","North Pacific","C2",1,"4","133","","3,1","18298, 49063",""
"8",38314,23.016666,-116.5,"mtGen64","2","","MEXICO IFS","LISA Ballance","","12/5/03","North Pacific","C3",1,"3","","","1,1,3","37772, 37896","114348"
"9",11985,-0.416666,-94.65,"mtGen42","2","","ECUADOR","TIM GERRODETTE","","11/4/98","South Pacific","C5",1,"3","215","","3,0","",""
"10",79766,-14.3,-170.533333,"mtGen70","C","","AMERICAN SAMOA","JOOKE ROBBINS","Donator requested that PI request permission to use in study","9/27/07","South Pacific","C6",1,"1,2","NA, 25.64",", ","2","","174904, 174906, 174887"
"11",104051,15.3,145.7,"mtGen71","mtGen71","","SAIPAN","ERIN OLESON","Donator requested that PI request permission to use in study","9/8/11","North Pacific","C7",1,"3","","","3","157266","175955, 174888, 174890, 174889, 174897, 174891, 174892, 174898"
"12",116839,13.432102,144.602026,"mtGen20","C","","4.76km SSW Orote Pt.","ERIN OLESON","Donator requested that PI request permission to use in study","7/1/13","North Pacific","C8",1,"3","","","3","174896, 157434","157435"
