LABID,Latitude,Longitude,Mitogenome.haplotype,CR.haplotype,Hawaii,Location,CONTACT_NAME,Restrict_Description,Date_Collected,KKMLocation,Ocean_Basin,category,Working?,Rank,DQuant,concentration,dna.comments,TQuant
157376,-13.5524,47.761,mtGen86,mtGen86,,Nosy Iranja,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,11/13/13,Madagascar,Indian Ocean,Pac14,N,1,1,29.91,,2
9871,4.25,73.616666,mtGen37,K,,MALDIVES,CHARLES ANDERSON,,4/18/98,Maldives,Indian Ocean,Pac1,Y,1,3,95,,3
9869,4.966666,73.55,mtGen10,A,,MALDIVES,CHARLES ANDERSON,,4/17/98,Maldives,Indian Ocean,Pac10,Y,1,4,63,,3
27,27.1,-82.45,mtGen07,mtGen07,,VENICE BEACH,DAN ODELL,,1/18/85,Florida,North Atlantic,Atl4,N,1,2,2160,,"3,3,3,3"
175842,28.0354,-16.8,mtGen27,mtGen27,,"Tenerife, Los Cristianos",NATACHA AGUILAR,Donator requested that PI request permission to use in study,11/5/15,Tenerife,North Atlantic,Atl1,Y,1,3,65.05,,3
175844,28.0354,-16.8,mtGen97,mtGen97,,"Tenerife, Los Cristianos",NATACHA AGUILAR,Donator requested that PI request permission to use in study,11/8/15,Tenerife,North Atlantic,Atl2,N,1,3,127.42,,2
2819,33.916666,-75.216666,mtGen08,D,,"HOLDEN BEACH, NORTH CAROLINA",ALETA HOHN,,5/31/94,US east,North Atlantic,Atl3,Y,1,4,3810,,3
175785,33.1583,-77.0427,mtGen94,mtGen94,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/23/05,US east,North Atlantic,Atl5,"N, no subs",1,1,,"DNA provided by P. Rosel's lab, SEFSC",0
175784,36.9928,-73.8332,mtGen12,mtGen12,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/13/05,US east,North Atlantic,Pac11,Y,1,1,,"DNA provided by P. Rosel's lab, SEFSC",0
104051,15.3,145.7,mtGen71,mtGen71,,SAIPAN,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,C7,N,1,3,,,3
116839,13.432102,144.602026,mtGen20,C,,4.76km SSW Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,7/1/13,CNMI,North Pacific,C8,N,1,3,,,3
104024,13.583333,144.766666,mtGen03,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,8/27/11,CNMI,North Pacific,Pac12,N,1,3,,,3
108223,13.416666,144.6,mtGen81,A,,Guam West,ERIN OLESON,Donator requested that PI request permission to use in study,3/23/12,CNMI,North Pacific,Pac13,N,1,"3,1","NA, 51.71",", ",3
108166,13.716666,144.8,mtGen72,mtGen72,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,5/26/12,CNMI,North Pacific,Pac7,N,1,"4,1",,", ",3
104078,14.116666,145.1,mtGen06,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,Pac9,N,1,"3,3",,", ",3
30535,23.683333,-149.083333,mtGen53,11,,HI IFS,JAY BARLOW,,12/2/02,CNP,North Pacific,C1,Y,1,"4,3",,", ",3
7618,31.983333,-118.583333,mtGen09,E,,OFFSHORE,BARB TAYLOR,,6/8/97,CNP,North Pacific,ETP2,Y,1,4,290,,3
11496,2.316666,-106.733333,mtGen39,2,,IFS,TIM GERRODETTE,,10/12/98,ETP,North Pacific,C2,Y,1,4,133,,"3,1"
38314,23.016666,-116.5,mtGen64,2,,MEXICO IFS,LISA Ballance,,12/5/03,ETP,North Pacific,C3,Y,1,3,,,"1,1,3"
4682,25.783333,-110.983333,mtGen36,9,,GULF OF CALIFORNIA,JAY BARLOW,,10/21/95,ETP,North Pacific,ETP1,Y,1,4,655,,"3,0"
11954,7.2,-82.05,mtGen16,E,,PANAMA,TIM GERRODETTE,,9/5/98,ETP,North Pacific,ETP3,Y,1,4,88,,"3,0"
12095,7,-81.483333,mtGen02,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,ETP4,Y,1,4,218,,"3,0"
11977,10.433333,-110.866666,mtGen28,5,,CLIPPERTON IS.,TIM GERRODETTE,,9/24/98,ETP,North Pacific,ETP5,Y,1,4,175,,"3,1"
16047,8.333333,-83.75,mtGen17,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,ETP6,Y,1,4,303,,"3,0"
37753,1.55,-89.3,mtGen56,E,,ECUADOR,LISA Ballance,,10/10/03,ETP,North Pacific,ETP7,Y,1,"1,4","10.95, 49.87",", ","3,3,3,3"
17981,26.916666,-114.783333,mtGen29,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,ETP8,Y,1,"3,3","73, 58.23",", ",3
30063,19.7,-156.083333,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/25/02,HI,North Pacific,Extra1,Y,1,4,153,,3
33983,21.916666,-159.783333,NA,J,MHI,KAUAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,6/3/03,HI,North Pacific,Extra2,Y,1,"4,3","44, 29.13",", ",3
30533,21.8,-160.7,,J,MHI,NI'IHAU,JAY BARLOW,,11/24/02,HI,North Pacific,Extra3,Y,1,4,393,,3
18941,21,-157,mtGen01,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/5/00,HI,North Pacific,Pac4,Y,1,3,313,,"0,0"
33879,21.316666,-158.283333,mtGen05,J,MHI,OAHU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/26/03,HI,North Pacific,Pac6,N,1,"4,3","12, NA",", ",3
30443,24.116666,-168.516666,,12,NWHI,NWHI,JAY BARLOW,,10/18/02,NWHI,North Pacific,Pac2,Y,1,4,215,,3
30435,24.983333,-171.85,mtGen51,J,NWHI,NWHI,JAY BARLOW,,10/17/02,NWHI,North Pacific,Pac5,Y,1,3,,,3
13367,8.7,122.74,mtGen46,14,,"SAITON, MALABUHAN",WILLIAM PERRIN,,6/20/99,Philippines,North Pacific,Pac3,Y,1,"4,2,1",,", , ",3
124027,41.05,-124.116666,mtGen82,mtGen82,,"Luffenholtz Beach, California",Collection Manager - SWFSC ,,9/23/07,US west,North Pacific,ETP9,Y,1,1,57.95,,3
79766,-14.3,-170.533333,mtGen70,C,,AMERICAN SAMOA,JOOKE ROBBINS,Donator requested that PI request permission to use in study,9/27/07,AmSam,South Pacific,C6,Y,1,"1,2","NA, 25.64",", ",2
11985,-0.416666,-94.65,mtGen42,2,,ECUADOR,TIM GERRODETTE,,11/4/98,ETP,South Pacific,C5,Y,1,3,215,,"3,0"
33295,-39.333333,177.5,mtGen11,C,,HAWKE'S BAY,SCOTT BAKER,Donator requested that PI request permission to use in study,02/??/1996,NZ,South Pacific,C9,Y,1,"1,3","NA, 20.25",", ","0,3"
23968,10.6,103.6,mtGen50,K,,"CAMBODIA, KEP",ISABEL BEASLEY,Donator requested that PI request permission to use in study,2/9/01,Cambodia,Indian Ocean,Pac3,,2,"4,1,2,2","NA, NA, 4.94, 2.66",", , , ",3
157266,-23.6651,43.6376,mtGen85,mtGen85,,Anakao,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,7/21/07,Madagascar,Indian Ocean,C7,,2,1,36.49,,3
157377,-13.5524,47.761,mtGen87,mtGen87,,Nosy Iranja,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,11/13/13,Madagascar,Indian Ocean,Pac14,,2,1,25.24,,3
157436,-13.5524,47.761,mtGen33,mtGen33,,Nosy Iranja,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,11/24/12,Madagascar,Indian Ocean,Pac7,,2,1,144.2,,3
9872,4,73.566666,mtGen10,A,,MALDIVES,CHARLES ANDERSON,,4/18/98,Maldives,Indian Ocean,Pac10,,2,4,143,,3
25,27.1,-82.45,mtGen07,mtGen07,,VENICE BEACH,DAN ODELL,,1/29/85,Florida,North Atlantic,Atl4,,2,1,4220,,"3,3,3,3"
