SFPW_archive_dump_31May2024_LabID,Duplicates,Flags,FIELDID,Animal_ID,Stage_Class,Cruise,Platform,Shipper,Shipper_Organization,Shipped_Date,Received_Date,Collection_Method,Contact_ID,CONTACT_NAME,Organization_ID,Organization,Collector,Collector_Organization,Acknowledgement,Label,LAB,Species_ID,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,SubSpecies,Species_Determ_List,USE,Restrict_Description,Date_Collected,YR,MO,DA,Location,City,Island,County,State,Country,Latitude,Latitude_Precision,Latitude_Precision_Unit,Longitude,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX,Gender_Determination,ACCESSIONDATE,Repository_Numbers,SFPW_archive_dump_31May2024_Comments,Record_Creation_Date,SFPW_archive_dump_31May2024_Edit_User,Edit_Date,T_ID,dbo_vw_Tissue_Vial_LabID,Vial_Num,Tissue_Type,Preservative,TQuant,TQuant_Description,TLeft,BQuant,Tissue_Location,Container_Type_Name,Vial_Type_Name,Container_Num,Rack,Box,Container_Row,Container_Column,CellStatus,CheckedOut,Checked_Out_By,Checked_Out_For,dbo_vw_Tissue_Vial_Comments,Accession_Date,EditDate,dbo_vw_Tissue_Vial_Edit_User,RecordCreationDate
5,,,JVK0044,181502,,,,,,,,STRANDING,398,STRANDING COORDINATOR,1,SWFSC,,,"NMFS, Southwest Fisheries Science Center",,K_D,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/16/1990,1990,9,16,"CORONADO, SILVER STRAND BEACH",,,,CALIFORNIA,UNITED STATES OF AMERICA,32.666666,1,Minute,-117.166666,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,,,CONC TAKEN 2003,5/31/12,dan.prosperi,6/8/22,8,5,1,Skin,Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
25,,,SWF-GM-8502-B,181522,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/29/1985,1985,1,29,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,U,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,42,25,1,Liver,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,20 ml plastic,1,,,B,8,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
25,,,SWF-GM-8502-B,181522,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/29/1985,1985,1,29,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,U,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,43,25,2,"Organ: kidney, liver, pancreas, heart, stomach",Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,Organ?,3/3/08,2/25/20,Dan Prosperi,3/3/08
25,,,SWF-GM-8502-B,181522,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/29/1985,1985,1,29,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,U,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,44,25,3,"Organ: kidney, liver, pancreas, heart, stomach",Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,Organ?,3/3/08,2/25/20,Dan Prosperi,3/3/08
25,,,SWF-GM-8502-B,181522,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/29/1985,1985,1,29,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,U,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,45,25,4,"Organ: kidney, liver, pancreas, heart, stomach",Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
27,,,SWF-GM-8505-B,181524,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/18/1985,1985,1,18,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,F,Field determination: gonads were examined; carcass was examined and dissected.,,,"GENDER CONFIRMED BY SRY, changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,48,27,1,Liver,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,20 ml plastic,1,,,B,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
27,,,SWF-GM-8505-B,181524,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/18/1985,1985,1,18,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,F,Field determination: gonads were examined; carcass was examined and dissected.,,,"GENDER CONFIRMED BY SRY, changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,49,27,2,"Organ: kidney, liver, pancreas, heart, stomach",Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,Organ?,3/3/08,2/25/20,Dan Prosperi,3/3/08
27,,,SWF-GM-8505-B,181524,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/18/1985,1985,1,18,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,F,Field determination: gonads were examined; carcass was examined and dissected.,,,"GENDER CONFIRMED BY SRY, changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,50,27,3,"Organ: kidney, liver, pancreas, heart, stomach",Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
27,,,SWF-GM-8505-B,181524,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/18/1985,1985,1,18,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,F,Field determination: gonads were examined; carcass was examined and dissected.,,,"GENDER CONFIRMED BY SRY, changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,51,27,4,"Organ: kidney, liver, pancreas, heart, stomach",Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
34,,,ETN-01-84,181530,,,,,,,,STRANDING,477,DAVID SCHOFIELD,181,PIRO,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,05/08/1984,1984,5,8,SWFSC-HI,,,,HAWAII,UNITED STATES OF AMERICA,21.55,1,Minute,-157.866666,1,Minute,1,North Pacific,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"O=LIVER, GENDER CONFIRMED BY SRY.  Source was recorded as ""STRAND-HI-SWFSC""",5/31/12,dan.prosperi,6/23/22,65,34,1,Liver,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,20 ml plastic,1,,,C,5,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
