"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
5,,,"JVK0044",181502,,,,,,,,"STRANDING",398,"STRANDING COORDINATOR ",1,"SWFSC",,,"NMFS, Southwest Fisheries Science Center",,"K_D",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"N",,"09/16/1990",1990,9,16,"CORONADO, SILVER STRAND BEACH",,,,"CALIFORNIA","UNITED STATES OF AMERICA",32.666666,1,"Minute",-117.166666,1,"Minute",1,"North Pacific","F","Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.",,,"CONC TAKEN 2003",5/31/2012 15:57:57,"dan.prosperi",6/8/2022 7:21:53
25,,,"SWF-GM-8502-B",181522,,,,,,,,"STRANDING",464,"DAN ODELL",497,"SEA WORLD OF FLORIDA",,,,,"ARC",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"N",,"01/29/1985",1985,1,29,"VENICE BEACH",,,"Sarasota","FLORIDA","UNITED STATES OF AMERICA",27.1,1,"Minute",-82.45,1,"Minute",2,"North Atlantic","U",,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
27,,,"SWF-GM-8505-B",181524,,,,,,,,"STRANDING",464,"DAN ODELL",497,"SEA WORLD OF FLORIDA",,,,,"ARC",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"N",,"01/18/1985",1985,1,18,"VENICE BEACH",,,"Sarasota","FLORIDA","UNITED STATES OF AMERICA",27.1,1,"Minute",-82.45,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,"GENDER CONFIRMED BY SRY, changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
34,,,"ETN-01-84",181530,,,,,,,,"STRANDING",477,"DAVID SCHOFIELD",181,"PIRO",,,,,"ARC",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"N",,"05/08/1984",1984,5,8,"SWFSC-HI",,,,"HAWAII","UNITED STATES OF AMERICA",21.55,1,"Minute",-157.866666,1,"Minute",1,"North Pacific","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"O=LIVER, GENDER CONFIRMED BY SRY.  Source was recorded as ""STRAND-HI-SWFSC""",5/31/2012 15:57:58,"dan.prosperi",6/23/2022 10:42:28
85,,,"DSJ900927.03",181581,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"N",,"09/27/1990",1990,9,27,"ETP",,,,,,7.333333,1,"Minute",-82.083333,1,"Minute",1,"North Pacific","U",,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",4/10/2024 7:53:39
449,,,"JGM0362",181917,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"Y","Donator requested that PI request permission to use in study","04/07/1978",1978,4,7,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",35.266666,1,"Minute",-75.516666,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
450,,,"JGM0369",181918,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"Y","Donator requested that PI request permission to use in study","04/12/1978",1978,4,12,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",35.783333,1,"Minute",-75.533333,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
482,,,"CWP0214/USNM550310",181950,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"Y","Donator requested that PI request permission to use in study","05/18/1983",1983,5,18,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",36.366666,1,"Minute",-75.816666,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
504,,,"WAM0333/USNM571255",181972,,,,,,,,"BYCATCH",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"Y","Donator requested that PI request permission to use in study","09/28/1988",1988,9,28,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",35.716666,1,"Minute",-75.05,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
537,,,"USNM571482",182003,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",36,"036","C","CETACEA","G mac","Globicephala","macrorhynchus","Short-finned pilot whale",,,"Y","No tissue left, loaner DNA is available","11/11/1991",1991,11,11,,,,,"DELAWARE","UNITED STATES OF AMERICA",38.65,1,"Minute",-75.066666,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"COMPLETE DLOOP, GENDER CONFIRMED BY SRY, CONC READING TAKEN IN 2003.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-DE-USNM""",5/31/2012 15:58:05,"dan.prosperi",6/22/2022 14:15:26
