Steno_archive_dump_4June2024_LabID,Steno_DID_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,Steno_DID_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,Steno_DID_Edit_User,Steno_DID_Edit_Date,Steno_DID_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
1215,5117,1215,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,5,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
1215,5118,1215,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,6,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2375,5118,,,,11000,,,,,,Dan Prosperi,5/19/14,5/19/14
1316,5119,1316,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,7,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2376,5119,3/21/14,Kelly Robertson,Victor Fluorometry,142.68,,,,,,Dan Prosperi,5/23/14,5/19/14
1317,5120,1317,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,8,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2377,5120,3/21/14,Kelly Robertson,Victor Fluorometry,135.22,,,,,,Dan Prosperi,5/23/14,5/19/14
1725,53052,1725,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,3,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
137,5104,137,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,1,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
137,5105,137,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,2,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2365,5105,,,,400,,,,,,Dan Prosperi,5/19/14,5/19/14
138,5106,138,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,3,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
138,5107,138,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,4,,Y,Genomic DNA,,,N,,,"Entire DNA sample loaned to Scott Baker's Lab., found in re-labeling 10/13/2012",,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2366,5107,,,,4450,,,,,,Dan Prosperi,5/19/14,5/19/14
139,5110,139,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,7,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2369,5110,,,,1750,,,,,,Dan Prosperi,5/19/14,5/19/14
457,53049,457,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,H,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
458,53050,458,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,1,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
459,5113,459,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,1,730,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2372,5113,,,,540,,,,,,Dan Prosperi,5/19/14,5/19/14
460,5111,460,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,8,82522,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2370,5111,3/21/14,Kelly Robertson,Victor Fluorometry,155.33,,,,,,Dan Prosperi,5/23/14,5/19/14
461,5112,461,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,A,9,731,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2371,5112,3/21/14,Kelly Robertson,Victor Fluorometry,117.49,,,,,,Dan Prosperi,5/23/14,5/19/14
544,5114,544,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,2,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2373,5114,3/21/14,Kelly Robertson,Victor Fluorometry,6.43,,,,,,Dan Prosperi,5/23/14,5/19/14
544,53051,544,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,2,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
1214,5115,1214,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,3,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
1214,5116,1214,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,4,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2374,5116,,,,4500,,,,,,Dan Prosperi,5/19/14,5/19/14
187665,102833,187665,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,A,5,226621,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1954,Brittany Hanser,1/24/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52547,102833,1/29/18,Brittany Hanser,Victor Fluorometry,37.98,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187688,102856,187688,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,C,2,226644,Y,Genomic DNA,4,>50ul,N,,,,1955,Brittany Hanser,1/29/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52572,102856,1/29/18,Brittany Hanser,Victor Fluorometry,36.78,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
