"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
137,,,"DSJ910520.01",181633,,,,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"N",,"05/20/1991",1991,5,20,"GULF OF CALIFORNIA",,,,,"MEXICO",28,1,"Minute",-91.266666,1,"Minute",2,"North Atlantic","U","Unknowable (no field data available; molecular determination failed).",,,"Gender failed at Baker Lab, Albertson.  use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions.  Source was recorded as ""BIOPSY-SWFSC-MOPS"", but this sample is from 1991, and MOPS was in 1989 and 1990",5/31/2012 15:57:59,"dan.prosperi",7/27/2022 16:14:29
138,,,"OIMB-91-01",181634,,,,,,,,"STRANDING",531,"JAN HODDER",470,"OIMB, UNIVERSITY OF OREGON",,,,,"RLP",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"N",,"01/14/1991",1991,1,14,"GOLD BEACH",,,"Curry","OREGON","UNITED STATES OF AMERICA",42.416666,1,"Minute",-124.433333,1,"Minute",1,"North Pacific","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,5/31/2012 15:57:59,"dan.prosperi",6/8/2022 7:21:53
139,,,"OIMB-91-02",181635,,,,,,,,"STRANDING",531,"JAN HODDER",470,"OIMB, UNIVERSITY OF OREGON",,,,,"RLP",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"N",,"01/14/1991",1991,1,14,"GOLD BEACH",,,"Curry","OREGON","UNITED STATES OF AMERICA",42.416666,1,"Minute",-124.433333,1,"Minute",1,"North Pacific","F","Field determination: gonads were examined; carcass was examined and dissected.",,,"Genetic sex id was male per Albertson, Baker's lab",5/31/2012 15:57:59,"dan.prosperi",6/8/2022 7:21:53
457,,,"JGM0192/USNM504486",181925,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"Y","Donator requested that PI request permission to use in study","10/12/1976",1976,10,12,,,,,"VIRGINIA","UNITED STATES OF AMERICA",36.616666,1,"Minute",-76.066666,1,"Minute",2,"North Atlantic","M","Molecular determination: SRY method",,,"Sex per Albertson, Baker's lab; LOAN 251.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-VA-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
458,,,"USNM504487",181926,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"Y","Donator requested that PI request permission to use in study","10/12/1976",1976,10,12,"VIRGINIA BEACH",,,,"VIRGINIA","UNITED STATES OF AMERICA",36.733333,1,"Minute",-75.933333,1,"Minute",2,"North Atlantic","F","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"Genetic sex id is male using SRY, Albertson, Baker's lab; LOAN 251.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-VA-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
459,,,"USNM504488",181927,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"Y","Donator requested that PI request permission to use in study","10/12/1976",1976,10,12,"VIRGINIA BEACH",,,,"VIRGINIA","UNITED STATES OF AMERICA",36.733333,1,"Minute",-75.933333,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"sex confirmed SRY Bakers Lab, Albertson.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-VA-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
460,,,"CWP0062/USNM504498",181928,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"Y","No tissue left, loaner DNA is available","10/15/1976",1976,10,15,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",36.433333,1,"Minute",-76.016666,1,"Minute",2,"North Atlantic","F","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"Genetic SRY sex id was male, Albertson, Baker's lab.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
461,,,"CWP0064/USNM504499",181929,,,,,,,,"STRANDING",470,"Darrin Lunde",256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,"KMR",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"Y","Donator requested that PI request permission to use in study","10/15/1976",1976,10,15,,,,,"NORTH CAROLINA","UNITED STATES OF AMERICA",36.433333,1,"Minute",-76.016666,1,"Minute",2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"sex confirmed with SRY Baker's Lab, Albertson.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/2012 15:58:04,"dan.prosperi",6/22/2022 14:15:26
544,,"ETP TUNA","MSB0005",182010,,,,,,,,"BYCATCH",702,"SUSAN CHIVERS",458,"NMFS, SOUTHWEST REGION, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM",,"KMR",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"N",,"01/30/1982",1982,1,30,"ETP",,,,,,8.716666,1,"Minute",-98.016666,1,"Minute",1,"North Pacific","F","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"SRY Gender shows male per Albertson, Baker's lab; LOAN 251",5/31/2012 15:58:05,"dan.prosperi",6/17/2022 15:21:20
1214,,,"DSJ921007.01",182650,,"1992-PODS-DSJ",,,,,,"BIOPSY (PROJECTILE)",713,"TIM GERRODETTE",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC",15,"015","C","CETACEA","S bre","Steno","bredanensis","Rough-toothed dolphin",,,"N",,"10/07/1992",1992,10,7,"ETP",,,,,,3.983333,1,"Minute",-79.016666,1,"Minute",1,"North Pacific","M","Molecular determination: SRY method",,,"Gender per Albertson, Baker's lab; LOAN 251.  Gerrodette retired, samples changed to NOT use restricted",5/31/2012 15:58:16,"dan.prosperi",4/10/2024 7:53:39
