Lab ID,Species name,Common name,Genetic ID,SWFSC ID,Field ID,Location,Latitude,Longitude,Country,Collection Date,Collected by,Member of,Tissue type,Tissue stored,DNA stored,DNA shipped,Photo stored,Extraction date,Extracted by,DNA conc ng/ul,DNA conc method,Field sex,lab sex,PCR no.,Run No,dlp haplotype,dlp PCR no.,dlp run No,ABI%,Photo,Hap Code,Microsats 'done',
Sbr00FP01,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,,M-Poole,aPOD,Stranding,UoA fridge,UoA fridge,,,,,,,,,,,,,,,,,yes,
Sbr00FP02,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,,M-Poole,aPOD,Stranding,UoA fridge,UoA fridge,,,,,,,,,,,Sbr00FP02,,,,,P,yes,
Sbr02FP01,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,8/26/02,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,?,,,?,,,,,,yes,
Sbr02FP02,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,9/1/02,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr02FP03,,,,,O,yes,
Sbr02FP03,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,9/1/02,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr00FP03,,,,,O,yes,
Sbr02FP04,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,9/2/02,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr00FP02,,,,,P,yes,
Sbr02FP05,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,9/2/02,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr00FP01,,,,,C,yes,
Sbr03FP01,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/27/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr02FP03,,,,,O,yes,
Sbr03FP02,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/27/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr02FP03,,,,,O,yes,
Sbr03FP03,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/27/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr00FP02,,,,,P,yes,
Sbr03FP04,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/27/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,?,,,?,,,,,,yes,
Sbr03FP05,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/27/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,?,,,Sbr02FP03,,,,,O,yes,
Sbr03FP06,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/27/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr02FP03,,,,,O,yes,
Sbr03FP07,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,7/28/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr00FP02,,,,,P,yes,
Sbr03FP08,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,8/28/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr02FP03,,,,,O,yes,
Sbr03FP09,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,8/28/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr02FP03,,,,,O,yes,
Sbr03FP10,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,10/7/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr02FP03,,,,,O,yes,
Sbr03FP11,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,10/7/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr02FP03,,,,,O,yes,
Sbr03FP12,Steno bredanensis,Rough-toothed dolphin,,,,Huahine,,,French Polynesia,11/6/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,M,,,Sbr03FP12,,,,,E,yes,
Sbr03FP13,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,11/22/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr00FP01,,,,,C,yes,
Sbr03FP14,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,11/22/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr02FP03,,,,,O,yes,
Sbr03FP15,Steno bredanensis,Rough-toothed dolphin,,,,Moorea,,,French Polynesia,11/22/03,M-Oremus,aPOD,biopsy,UoA fridge,OSU chest freezer,,,,,,,,F,,,Sbr02FP03,,,,,O,yes,
