SFPW_archive_dump_31May2024_LabID,Duplicates,Flags,FIELDID,Animal_ID,Stage_Class,Cruise,Platform,Shipper,Shipper_Organization,Shipped_Date,Received_Date,Collection_Method,Contact_ID,CONTACT_NAME,Organization_ID,Organization,Collector,Collector_Organization,Acknowledgement,Label,LAB,Species_ID,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,SubSpecies,Species_Determ_List,USE,Restrict_Description,Date_Collected,YR,MO,DA,Location,City,Island,County,State,Country,Latitude,Latitude_Precision,Latitude_Precision_Unit,Longitude,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX,Gender_Determination,ACCESSIONDATE,Repository_Numbers,SFPW_archive_dump_31May2024_Comments,SFPW_archive_dump_31May2024_Record_Creation_Date,SFPW_archive_dump_31May2024_Edit_User,SFPW_archive_dump_31May2024_Edit_Date,SFPW_DIDs_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,dbo_vw_DNA_Storage_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,dbo_vw_DNA_Storage_Edit_User,dbo_vw_DNA_Storage_Edit_Date,dbo_vw_DNA_Storage_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
5,,,JVK0044,181502,,,,,,,,STRANDING,398,STRANDING COORDINATOR,1,SWFSC,,,"NMFS, Southwest Fisheries Science Center",,K_D,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/16/1990,1990,9,16,"CORONADO, SILVER STRAND BEACH",,,,CALIFORNIA,UNITED STATES OF AMERICA,32.666666,1,Minute,-117.166666,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,,,CONC TAKEN 2003,5/31/12,dan.prosperi,6/8/22,1216,5,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,1,8,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,4/24/09,6/28/12,612,1216,,,,173,,,,,,Dan Prosperi,5/19/14,5/19/14
25,,,SWF-GM-8502-B,181522,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/29/1985,1985,1,29,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,U,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,1217,25,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,2,,Y,Genomic DNA,1,<=10ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,5/5/17,6/28/12,613,1217,,,,4220,,,,,,Dan Prosperi,5/19/14,5/19/14
27,,,SWF-GM-8505-B,181524,,,,,,,,STRANDING,464,DAN ODELL,497,SEA WORLD OF FLORIDA,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/18/1985,1985,1,18,VENICE BEACH,,,Sarasota,FLORIDA,UNITED STATES OF AMERICA,27.1,1,Minute,-82.45,1,Minute,2,North Atlantic,F,Field determination: gonads were examined; carcass was examined and dissected.,,,"GENDER CONFIRMED BY SRY, changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/12,dan.prosperi,6/8/22,1218,27,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,3,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,5/5/17,6/28/12,614,1218,,,,2160,,,,,,Dan Prosperi,5/19/14,5/19/14
34,,,ETN-01-84,181530,,,,,,,,STRANDING,477,DAVID SCHOFIELD,181,PIRO,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,05/08/1984,1984,5,8,SWFSC-HI,,,,HAWAII,UNITED STATES OF AMERICA,21.55,1,Minute,-157.866666,1,Minute,1,North Pacific,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"O=LIVER, GENDER CONFIRMED BY SRY.  Source was recorded as ""STRAND-HI-SWFSC""",5/31/12,dan.prosperi,6/23/22,1219,34,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,4,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,615,1219,,,,820,,,,,,Dan Prosperi,5/19/14,5/19/14
85,,,DSJ900927.03,181581,,1990-MOPS-DSJ,,,,,,BIOPSY (PROJECTILE),603,LISA Ballance,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/27/1990,1990,9,27,ETP,,,,,,7.333333,1,Minute,-82.083333,1,Minute,1,North Pacific,U,,,,use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions,5/31/12,dan.prosperi,4/10/24,1220,85,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,5,,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,616,1220,,,,160,,,,,,Dan Prosperi,5/19/14,5/19/14
449,,,JGM0362,181917,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,04/07/1978,1978,4,7,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,35.266666,1,Minute,-75.516666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/12,dan.prosperi,6/22/22,1221,449,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,6,,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,617,1221,,,,50,,,,,,Dan Prosperi,5/19/14,5/19/14
450,,,JGM0369,181918,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,04/12/1978,1978,4,12,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,35.783333,1,Minute,-75.533333,1,Minute,2,North Atlantic,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/12,dan.prosperi,6/22/22,1222,450,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,7,724,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,618,1222,,,,2340,,,,,,Dan Prosperi,5/19/14,5/19/14
482,,,CWP0214/USNM550310,181950,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,05/18/1983,1983,5,18,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,36.366666,1,Minute,-75.816666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/12,dan.prosperi,6/22/22,1223,482,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,8,82527,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,619,1223,,,,320,,,,,,Dan Prosperi,5/19/14,5/19/14
504,,,WAM0333/USNM571255,181972,,,,,,,,BYCATCH,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,09/28/1988,1988,9,28,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,35.716666,1,Minute,-75.05,1,Minute,2,North Atlantic,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/12,dan.prosperi,6/22/22,1224,504,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,A,9,82530,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,620,1224,,,,430,,,,,,Dan Prosperi,5/19/14,5/19/14
537,,,USNM571482,182003,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,"No tissue left, loaner DNA is available",11/11/1991,1991,11,11,,,,,DELAWARE,UNITED STATES OF AMERICA,38.65,1,Minute,-75.066666,1,Minute,2,North Atlantic,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,"COMPLETE DLOOP, GENDER CONFIRMED BY SRY, CONC READING TAKEN IN 2003.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-DE-USNM""",5/31/12,dan.prosperi,6/22/22,1225,537,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,1,82533,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,621,1225,,,,520,,,,,,Dan Prosperi,5/19/14,5/19/14
1297,,CAGN,WXC0041,182733,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,08/28/1992,1992,8,28,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,35.25,1,Minute,-122.566666,1,Minute,1,North Pacific,F,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1226,1297,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,2,1489,Y,Genomic DNA,1,<=10ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/30/17,6/28/12,622,1226,,,,5652,,,,,,Dan Prosperi,5/19/14,5/19/14
