,LABID,CONTACT_NAME,Restrict_Description,Date_Collected,Latitude,Longitude,Location,Island,State,KKMLocation,Country,Ocean_Basin,Feresa_strata,Haplotype,category,Working,new cate-rank,Rank,Status,DQuant,concentration,dna.comments,TQuant
9,9853,CHARLES ANDERSON,,4/4/98,6.45,73.233333,,,,Maldives,MALDIVES,Indian Ocean,other,5,E,,IO1,3,,4,,,3
64,159698,PATRICIA ROSEL,Sample not available for use.,4/19/08,30.3309,-88.5099,"Chevron Refinery, Pascagoula",,MISSISSIPPI,GoMex,UNITED STATES OF AMERICA,North Atlantic,other,25,J,,,,,"2,2",,,"0,0"
67,159701,PATRICIA ROSEL,Sample not available for use.,6/16/08,26.8202,-82.2711,"Beached on the east side on the Boca Grande Causeway, approx 250m South of the GIBA Swing Bridge, Gasparila Island",,FLORIDA,GoMex,UNITED STATES OF AMERICA,North Atlantic,other,24,J,,,,,"2,2",,,"0,0"
69,159703,PATRICIA ROSEL,Donator requested that PI request permission to use in study,3/8/11,18.4133,-65.8051,Rio Grande,,,GoMex,PUERTO RICO,North Atlantic,other,2,E,,,,,"2,2",,,"0,0"
73,159707,PATRICIA ROSEL,Sample not available for use.,9/1/15,30.2056,-89.448,In marsh between Louisiana state line and Waveland,,MISSISSIPPI,GoMex,UNITED STATES OF AMERICA,North Atlantic,other,2,E,,,,,"2,2",,,"0,0"
26,48079,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,9/16/95,18.616666,-64.533333,TORTOLA,,,Puerto Rico,PUERTO RICO,North Atlantic,NA,NA,,,,,,1,,,3
27,48132,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,3/22/02,17.966666,-66.45,SANTA ISABEL,,,Puerto Rico,PUERTO RICO,North Atlantic,other,2,E,,,,,3,,,3
66,159700,PATRICIA ROSEL,Donator requested that PI request permission to use in study,8/15/07,33.8038,-78.7064,"at 25th Ave South, North Myrtle Beach",,SOUTH CAROLINA,US east,UNITED STATES OF AMERICA,North Atlantic,other,22,J2,N,,1,Failed,"2,2",,,"0,0"
70,159704,PATRICIA ROSEL,Donator requested that PI request permission to use in study,11/9/13,36.9214,-75.9959,"Fort Story, East of lighthouse, Virginia Beach",,VIRGINIA,US east,UNITED STATES OF AMERICA,North Atlantic,other,20,J1,N,,1,Failed,"2,2",,,"0,0"
62,159696,PATRICIA ROSEL,Donator requested that PI request permission to use in study,1/9/04,31.2351,-81.286,South side Mosquito Creek Inlet of Little St. Simons Island,,GEORGIA,US east,UNITED STATES OF AMERICA,North Atlantic,other,23,J2,,,2,Failed,"2,2",,,"0,0"
71,159705,PATRICIA ROSEL,Donator requested that PI request permission to use in study,11/9/13,36.9237,-75.9989,"Fort Story, just east of lighthouse, Virginia Beach",,VIRGINIA,US east,UNITED STATES OF AMERICA,North Atlantic,other,20,J1,,,2,Failed,"2,2",,,"0,0"
63,159697,PATRICIA ROSEL,Donator requested that PI request permission to use in study,3/11/06,32.1768,-80.7081,"beach marker 89 on Palmetto Dunes Beach, Hilton Head Island, Beaufort county",,SOUTH CAROLINA,US east,UNITED STATES OF AMERICA,North Atlantic,other,23,J2,,,3,Failed,"2,2",,,"0,0"
72,159706,PATRICIA ROSEL,Donator requested that PI request permission to use in study,11/18/13,36.8662,-75.9783,"38th St, Oceanfront, Virginia Beach",,VIRGINIA,US east,UNITED STATES OF AMERICA,North Atlantic,other,20,J1,,,3,Failed,"2,2",,,"0,0"
2,3944,Gretchen Lovewell,,12/18/94,29.666666,-81.25,"S CRESCENT BEACH, MATANZAS INLET",,FLORIDA,US east,UNITED STATES OF AMERICA,North Atlantic,other,2,E,,Atl1-1,,,2,380,,3
65,159699,PATRICIA ROSEL,Donator requested that PI request permission to use in study,8/15/07,33.8038,-78.7064,"approx 18th ave south, North Myrtle Beach",,SOUTH CAROLINA,US east,UNITED STATES OF AMERICA,North Atlantic,other,23,J,,,,,"2,2",,,"0,0"
68,159702,PATRICIA ROSEL,Donator requested that PI request permission to use in study,8/13/08,34.5317,-77.3315,Camp Lejeune,,NORTH CAROLINA,US east,UNITED STATES OF AMERICA,North Atlantic,other,21,J,,,,,"2,2",,,"0,0"
