Replicates,LABID,Mean coverage,Species
,z0003944,1.45960,Feresa attenuata
,z0005747,0.27027,Feresa attenuata
x,z0009552,1.88008,Feresa attenuata
x,z0009552,2.22276,Feresa attenuata
,z0011711,0.35869,Feresa attenuata
,z0018137,0.84887,Feresa attenuata
,z0055173,0.13581,Feresa attenuata
,z0061433,0.42435,Feresa attenuata
,z0114347,0.50631,Feresa attenuata
,z0175869,1.29469,Feresa attenuata
,z0185067,2.37031,Feresa attenuata
x,z0000025,0.01520,Globicephala macrorhynchus
x,z0000027,0.01869,Globicephala macrorhynchus
x,z0000027,2.78003,Globicephala macrorhynchus
x,z0000027,3.31750,Globicephala macrorhynchus
,z0000537,0.00294,Globicephala macrorhynchus
,z0002819,0.27046,Globicephala macrorhynchus
x,z0003006,0.75156,Globicephala macrorhynchus
x,z0003006,1.37441,Globicephala macrorhynchus
x,z0003775,0.00936,Globicephala macrorhynchus
x,z0003775,0.01047,Globicephala macrorhynchus
,z0004682,0.00811,Globicephala macrorhynchus
,z0007618,0.29314,Globicephala macrorhynchus
,z0009869,0.71993,Globicephala macrorhynchus
,z0009871,1.57952,Globicephala macrorhynchus
,z0011496,2.32488,Globicephala macrorhynchus
,z0011954,0.39918,Globicephala macrorhynchus
,z0011977,0.54711,Globicephala macrorhynchus
,z0011985,1.85019,Globicephala macrorhynchus
,z0012095,1.16801,Globicephala macrorhynchus
,z0013367,1.83930,Globicephala macrorhynchus
,z0016047,0.61043,Globicephala macrorhynchus
,z0017981,0.62566,Globicephala macrorhynchus
,z0018941,2.11513,Globicephala macrorhynchus
,z0030063,2.86243,Globicephala macrorhynchus
,z0030435,0.06257,Globicephala macrorhynchus
,z0030443,0.80779,Globicephala macrorhynchus
,z0030533,0.43459,Globicephala macrorhynchus
,z0030535,0.88195,Globicephala macrorhynchus
,z0033295,1.76044,Globicephala macrorhynchus
,z0033861,1.25384,Globicephala macrorhynchus
,z0033983,0.02262,Globicephala macrorhynchus
,z0037753,3.24863,Globicephala macrorhynchus
,z0038314,1.19683,Globicephala macrorhynchus
,z0079766,2.90954,Globicephala macrorhynchus
,z0108222,0.85609,Globicephala macrorhynchus
,z0116830,0.78303,Globicephala macrorhynchus
,z0143674,1.12453,Globicephala macrorhynchus
,z0157266,1.86974,Globicephala macrorhynchus
,z0157376,0.07082,Globicephala macrorhynchus
,z0157434,0.71489,Globicephala macrorhynchus
,z0157436,0.93480,Globicephala macrorhynchus
,z0175840,0.99331,Globicephala macrorhynchus
,z0175842,0.34743,Globicephala macrorhynchus
,z0000141,0.00810,Grampus griseus
x,z0000533,0.00801,Grampus griseus
x,z0000533,0.03707,Grampus griseus
,z0002668,0.00543,Grampus griseus
,z0003077,1.43186,Grampus griseus
x,z0004689,1.93873,Grampus griseus
x,z0004689,4.53432,Grampus griseus
,z0004694,0.51583,Grampus griseus
,z0007447,2.97722,Grampus griseus
,z0007778,0.00941,Grampus griseus
,z0009558,2.12114,Grampus griseus
,z0011694,2.98733,Grampus griseus
,z0015900,1.02526,Grampus griseus
,z0025435,0.41249,Grampus griseus
,z0038251,3.42690,Grampus griseus
,z0038256,1.56772,Grampus griseus
,z0038275,2.02888,Grampus griseus
,z0041843,2.03827,Grampus griseus
,z0061944,1.21438,Grampus griseus
,z0073679,0.41799,Grampus griseus
,z0094804,0.43592,Grampus griseus
,z0101143,2.31025,Grampus griseus
,z0124025,1.06266,Grampus griseus
,z0124027,0.01521,Grampus griseus
,z0125653,0.78379,Grampus griseus
x,z0004118,0.36424,Peponocephala electra
x,z0004118,0.50276,Peponocephala electra
x,z0049026,0.05416,Peponocephala electra
x,z0049026,0.11530,Peponocephala electra
,z0049081,3.36291,Peponocephala electra
,z0050887,3.94363,Peponocephala electra
,z0050894,2.65247,Peponocephala electra
,z0064634,4.58323,Peponocephala electra
,z0074890,2.29073,Peponocephala electra
,z0092233,0.79620,Peponocephala electra
,z0092235,0.13899,Peponocephala electra
,z0098725,0.44836,Peponocephala electra
,z0102532,0.79580,Peponocephala electra
,z0105431,0.98203,Peponocephala electra
,z0105437,0.01531,Peponocephala electra
,z0112696,0.50099,Peponocephala electra
,z0116531,2.68243,Peponocephala electra
,z0116536,0.96153,Peponocephala electra
,z0126058,0.31524,Peponocephala electra
,z0143715,0.09892,Peponocephala electra
,z0159752,1.22716,Peponocephala electra
,z0159760,0.27321,Peponocephala electra
,z0004522,2.37964,Pseudorca crassidens
,z0009883,0.01723,Pseudorca crassidens
,z0011650,1.81224,Pseudorca crassidens
,z0016143,1.10440,Pseudorca crassidens
,z0018301,0.02238,Pseudorca crassidens
x,z0018448,0.45204,Pseudorca crassidens
x,z0018448,0.92306,Pseudorca crassidens
x,z0018448,1.10672,Pseudorca crassidens
,z0018462,3.03804,Pseudorca crassidens
,z0027510,1.49921,Pseudorca crassidens
,z0038071,1.53603,Pseudorca crassidens
,z0045925,0.04784,Pseudorca crassidens
,z0049052,0.90670,Pseudorca crassidens
,z0049062,3.78370,Pseudorca crassidens
,z0067155,0.03340,Pseudorca crassidens
,z0072688,1.66340,Pseudorca crassidens
,z0072691,4.17066,Pseudorca crassidens
,z0079762,0.03486,Pseudorca crassidens
,z0102217,1.24045,Pseudorca crassidens
,z0102229,0.92723,Pseudorca crassidens
,z0102231,1.83464,Pseudorca crassidens
,z0108131,0.76153,Pseudorca crassidens
,z0114340,2.50664,Pseudorca crassidens
,z0114550,3.68214,Pseudorca crassidens
,z0114841,0.04236,Pseudorca crassidens
,z0114842,0.36996,Pseudorca crassidens
,z0116505,0.16736,Pseudorca crassidens
,z0116580,0.33874,Pseudorca crassidens
,z0116583,0.74978,Pseudorca crassidens
,z0116587,0.61917,Pseudorca crassidens
x,z0116974,1.29287,Pseudorca crassidens
x,z0116974,1.36866,Pseudorca crassidens
x,z0116974,1.42425,Pseudorca crassidens
,z0116976,0.07201,Pseudorca crassidens
,z0117297,1.29104,Pseudorca crassidens
x,z0125877,0.65203,Pseudorca crassidens
x,z0125877,1.64537,Pseudorca crassidens
,z0125878,1.92524,Pseudorca crassidens
,z0143719,0.46284,Pseudorca crassidens
,z0146455,0.20228,Pseudorca crassidens
,z0159748,0.05964,Pseudorca crassidens
,z0175249,0.09760,Pseudorca crassidens
x,z0175342,0.03362,Pseudorca crassidens
x,z0175342,0.10464,Pseudorca crassidens
x,z0175342,2.67514,Pseudorca crassidens
,z0175877,0.18223,Pseudorca crassidens
x,z0183542,0.34756,Pseudorca crassidens
x,z0183542,0.48300,Pseudorca crassidens
x,z0183542,0.98755,Pseudorca crassidens
,z0185086,0.07906,Pseudorca crassidens
x,z0185087,0.40134,Pseudorca crassidens
x,z0185087,0.42252,Pseudorca crassidens
x,z0185087,1.17847,Pseudorca crassidens
,z0186440,0.11122,Pseudorca crassidens
,z0186450,0.07940,Pseudorca crassidens
,z0187740,0.05299,Pseudorca crassidens
,z0191162,4.02745,Pseudorca crassidens
,z0196620,4.61173,Pseudorca crassidens
,z0198374,0.26804,Pseudorca crassidens
,z0198475,1.09852,Pseudorca crassidens
,z0202045,0.11782,Pseudorca crassidens
,z0202047,0.04893,Pseudorca crassidens
x,z0203250,0.18266,Pseudorca crassidens
x,z0203250,0.52010,Pseudorca crassidens
,z0206166,0.30712,Pseudorca crassidens
,z0206168,0.58624,Pseudorca crassidens
,z0211011,0.65694,Pseudorca crassidens
,z0211014,0.11621,Pseudorca crassidens
,z0211018,0.18398,Pseudorca crassidens
,z0214699,0.06001,Pseudorca crassidens
,z0217543,0.42340,Pseudorca crassidens
x,z0000045,0.00600,Steno bredanensis
x,z0000045,0.00795,Steno bredanensis
,z0001316,0.38983,Steno bredanensis
x,z0003050,0.51450,Steno bredanensis
x,z0003050,0.74958,Steno bredanensis
x,z0009855,0.87757,Steno bredanensis
x,z0009855,0.91029,Steno bredanensis
,z0010936,0.95949,Steno bredanensis
,z0011192,0.78880,Steno bredanensis
,z0011924,1.12660,Steno bredanensis
,z0018431,0.70249,Steno bredanensis
,z0030517,0.37133,Steno bredanensis
,z0075674,0.31127,Steno bredanensis
,z0079999,0.91986,Steno bredanensis
,z0116865,0.41173,Steno bredanensis
,z0124013,0.45066,Steno bredanensis
,z0187665,0.17405,Steno bredanensis
,z0187688,0.42028,Steno bredanensis
,z0187730,1.01671,Steno bredanensis
,z0187735,0.10185,Steno bredanensis
